dataset,split,fp_combo,model,RMSE,MAE,R2,CV_train_R2_mean,CV_train_R2_std,CV_val_R2_mean,CV_val_R2_std
hu,sc,avalon,DNN,1.51703,1.185321,0.06025,0.8216903999999999,0.02288281677241683,0.8216903999999999,0.02288281677241683
hu,sc,morgan+maccs,DNN,1.762217,1.580528,-0.268069,0.8341367999999999,0.023808250052450304,0.8341367999999999,0.023808250052450304
hu,sc,morgan+avalon,DNN,1.367208,1.146678,0.236703,0.8358700000000001,0.021436312957222838,0.8358700000000001,0.021436312957222838
hu,sc,maccs+avalon,DNN,1.581841,1.36387,-0.021762,0.8374322000000001,0.01984072250095747,0.8374322000000001,0.01984072250095747
hu,sc,morgan+maccs+avalon,DNN,1.608622,1.425185,-0.056652,0.8488720000000001,0.018722343517839857,0.8488720000000001,0.018722343517839857
hu,cs,morgan,DNN,1.236118,0.909217,0.625922,0.7781703999999999,0.024878328863490836,0.7781703999999999,0.024878328863490836
hu,cs,maccs,DNN,1.071232,0.778953,0.719062,0.7949323999999999,0.014163449658893126,0.7949323999999999,0.014163449658893126
hu,cs,avalon,DNN,1.067783,0.795624,0.720869,0.8378636,0.026623248731888437,0.8378636,0.026623248731888437
hu,cs,morgan+maccs,DNN,1.028554,0.724033,0.741002,0.8423826,0.017754871203137464,0.8423826,0.017754871203137464
hu,cs,morgan+avalon,DNN,1.039683,0.755493,0.735367,0.8513748,0.018321599552440816,0.8513748,0.018321599552440816
hu,cs,maccs+avalon,DNN,1.001836,0.733384,0.754283,0.8667118,0.025178746215012374,0.8667118,0.025178746215012374
hu,cs,morgan+maccs+avalon,DNN,1.003127,0.725444,0.753649,0.8662506000000001,0.017229616021258273,0.8662506000000001,0.017229616021258273
hu,cl,morgan,DNN,1.575454,1.169765,0.155286,0.7946396000000001,0.03291228445793454,0.7946396000000001,0.03291228445793454
hu,cl,maccs,DNN,1.293445,1.019761,0.43063,0.8219744,0.018324397000720076,0.8219744,0.018324397000720076
